,IATA,Lat,Lon,Dist_to_MIA_km,CY 23 Enplanements
0,MIA,25.79319953918457,-80.29060363769531,0.0,24717048
1,FLL,26.072599,-80.152702,33.896477830683445,17063063
2,PBI,26.683201,-80.095596,100.51127206367653,3815977
4,RSW,26.53619956970215,-81.75520324707031,167.9772512869381,4963269
5,EYW,24.556101,-81.759598,201.76100045167868,675343
6,MLB,28.1028,-80.645302,258.3220695670627,363844
7,SRQ,27.394631,-82.554359,286.9174108676809,2144736
8,MCO,28.429399490356445,-81.30899810791016,309.0619780624644,28033205
9,TPA,27.9755,-82.533203,328.79131493613795,11677632
10,SFB,28.7775993347168,-81.23750305175781,343.72149502645794,1446884
11,DAB,29.179899,-81.058098,382.86877623323437,348080
13,GNV,29.6900997162,-82.2717971802,473.9324635406604,273366
14,JAX,30.492469,-81.687813,538.5468810340441,3619739
15,TLH,30.3965,-84.350304,647.4950222590592,416501
16,ECP,30.357106,-85.795414,740.4381424672775,816642
17,VPS,30.4832,-86.525398,802.9993862754559,1116717
18,PNS,30.4734,-87.1866,852.8663063285906,1365976
